epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1173.57,1.05616,2.55583,1.56624,0.77118,0.23575,0.3083,0.15427,1.08593,6.336,1.73982,0.000368482,0.000368482,0.000368482
2,2346,1.09758,1.86013,1.53462,0.16507,0.25635,0.26612,0.16682,0.97485,4.16142,1.63136,0.000714434,0.000714434,0.000714434
3,3520.54,1.14077,1.77152,1.56782,0.23553,0.41456,0.19146,0.15423,0.90391,6.12486,1.59951,0.00103594,0.00103594,0.00103594
4,4687.03,1.10718,1.59456,1.5106,0.33645,0.57,0.43218,0.333,0.86442,3.23114,1.52421,0.00100101,0.00100101,0.00100101
5,5857.48,1.0282,1.41221,1.43413,0.25861,0.40445,0.43152,0.34122,0.83028,2.7938,1.46275,0.000964348,0.000964348,0.000964348
6,7025.58,1.01584,1.37012,1.43749,0.39015,0.4,0.43161,0.31519,1.03014,3.44408,1.69862,0.000927685,0.000927685,0.000927685
7,8189.4,0.98534,1.27042,1.40446,0.39185,0.4,0.43628,0.35004,0.80662,3.3439,1.47548,0.000891022,0.000891022,0.000891022
8,9360.52,0.92652,1.23104,1.36385,0.32883,0.61507,0.52133,0.41257,0.69874,2.88813,1.32202,0.000854359,0.000854359,0.000854359
9,10539.4,0.90132,1.12686,1.34805,0.23801,0.28,0.3978,0.31601,0.72381,3.46874,1.4155,0.000817696,0.000817696,0.000817696
10,11699.8,0.86663,1.03836,1.3148,0.39269,0.4,0.41717,0.34098,0.74303,3.70215,1.35445,0.000781033,0.000781033,0.000781033
11,12882.5,0.83521,0.96779,1.30219,0.3913,0.39225,0.43275,0.36436,0.61725,4.10202,1.24173,0.00074437,0.00074437,0.00074437
12,14039.6,0.81781,0.93962,1.30403,0.39057,0.38345,0.43986,0.3419,0.73042,4.22131,1.41024,0.000707707,0.000707707,0.000707707
13,15189.9,0.79116,0.98551,1.26467,0.39746,0.4,0.45102,0.38749,0.6178,3.34317,1.26618,0.000671044,0.000671044,0.000671044
14,16338.5,0.77435,0.94679,1.2413,0.39646,0.4,0.44776,0.38141,0.58699,3.48613,1.20989,0.000634381,0.000634381,0.000634381
15,17491.5,0.74823,0.86595,1.2296,0.39622,0.4,0.40755,0.33914,0.66017,3.94844,1.34212,0.000597718,0.000597718,0.000597718
16,18639.5,0.74709,0.7715,1.23698,0.39085,0.3225,0.4022,0.32622,0.64649,4.52087,1.34288,0.000561055,0.000561055,0.000561055
17,19807.6,0.77171,0.77942,1.24697,0.39437,0.40969,0.42501,0.36476,0.60652,3.93766,1.24413,0.000524392,0.000524392,0.000524392
18,20972.9,0.76344,0.77644,1.23861,0.39577,0.4,0.45811,0.35952,0.80934,3.56585,1.47632,0.000487729,0.000487729,0.000487729
19,792.312,0.827,0.815,1.27171,0.39408,0.4,0.50378,0.43837,0.54777,3.7939,1.19382,0.000451066,0.000451066,0.000451066
20,1588.81,0.7406,0.70369,1.23942,0.39929,0.40879,0.41779,0.35055,0.57216,3.81375,1.23094,0.000414403,0.000414403,0.000414403
21,2387.16,0.57022,0.44292,1.18157,0.39369,0.4,0.40207,0.3283,0.6183,3.7723,1.30011,0.00037774,0.00037774,0.00037774
22,3468.49,0.51828,0.38771,1.10979,0.39653,0.4,0.44304,0.38352,0.56795,3.88058,1.25956,0.000341077,0.000341077,0.000341077
23,4432.37,0.51357,0.37003,1.10131,0.39969,0.40754,0.43203,0.36739,0.58786,3.91343,1.25378,0.000304414,0.000304414,0.000304414
24,5379.18,0.50864,0.34861,1.08136,0.38206,0.39675,0.41309,0.35215,0.57175,3.49766,1.23555,0.000267751,0.000267751,0.000267751
25,6302.99,0.48903,0.33424,1.09575,0.39647,0.4,0.49081,0.43319,0.5363,3.17903,1.16816,0.000231088,0.000231088,0.000231088
26,7302.48,0.46322,0.3267,1.06613,0.39807,0.4,0.48998,0.42281,0.52715,3.19605,1.15332,0.000194425,0.000194425,0.000194425
27,8261.86,0.46016,0.33174,1.0554,0.39903,0.40492,0.47024,0.40109,0.57099,3.38401,1.199,0.000157762,0.000157762,0.000157762
28,9201.85,0.44346,0.30119,1.05167,0.39893,0.40413,0.45148,0.40029,0.49479,3.4813,1.13059,0.000121099,0.000121099,0.000121099
29,10135,0.4288,0.28436,1.00538,0.39669,0.4,0.42668,0.37086,0.53374,3.5101,1.19023,8.4436e-05,8.4436e-05,8.4436e-05
30,11176.3,0.41065,0.28083,1.00215,0.39647,0.4,0.42369,0.37036,0.50432,3.58642,1.15407,4.7773e-05,4.7773e-05,4.7773e-05
